Epoch:1710 Score:2747
Epoch:1715 Score:2708
Epoch:1720 Score:2741
Epoch:1725 Score:2730
Epoch:1730 Score:2703
Epoch:1735 Score:2681
Epoch:1740 Score:2633
Epoch:1745 Score:2659
Epoch:1750 Score:2647
Epoch:1755 Score:2616
Epoch:1760 Score:2664
Epoch:1765 Score:2705
Epoch:1770 Score:2663
Epoch:1775 Score:2723
Epoch:1780 Score:2746
Epoch:1785 Score:2718
Epoch:1790 Score:2675
Epoch:1795 Score:2661
Epoch:1800 Score:2721
Epoch:1805 Score:2710
Epoch:1810 Score:2687
Epoch:1815 Score:2691
Epoch:1820 Score:2688
Epoch:1825 Score:2676
Epoch:1830 Score:2677
Epoch:1835 Score:2652
Epoch:1840 Score:2640
Epoch:1845 Score:2675
Epoch:1850 Score:2738
Epoch:1855 Score:2774
Epoch:1860 Score:2730
Epoch:1865 Score:2751
Epoch:1870 Score:2699
Epoch:1875 Score:2669
Epoch:1880 Score:2700
Epoch:1885 Score:2693
Epoch:1890 Score:2671
Epoch:1895 Score:2650
Epoch:1900 Score:2724
Epoch:1905 Score:2734
Epoch:1910 Score:2694
Epoch:1915 Score:2700
Epoch:1920 Score:2746
Epoch:1925 Score:2762
Epoch:1930 Score:2693
Epoch:1935 Score:2662
Epoch:1940 Score:2689
Epoch:1945 Score:2664
Epoch:1950 Score:2662
Epoch:1955 Score:2712
Epoch:1960 Score:2697
Epoch:1965 Score:2646
Epoch:1970 Score:2717
Epoch:1975 Score:2674
Epoch:1980 Score:2688
Epoch:1985 Score:2732
Epoch:1990 Score:2762
Epoch:1995 Score:2738
Epoch:2000 Score:2726
Epoch:2005 Score:2710
Epoch:2010 Score:2741
Epoch:2015 Score:2743
Epoch:2020 Score:2760
Epoch:2025 Score:2835
Epoch:2030 Score:2785
Epoch:2035 Score:2760
Epoch:2040 Score:2758
Epoch:2045 Score:2711
Epoch:2050 Score:2739
Epoch:2055 Score:2705
Epoch:2060 Score:2730
Epoch:2065 Score:2692
Epoch:2070 Score:2705
Epoch:2075 Score:2705
Epoch:2080 Score:2737
Epoch:2085 Score:2736
Epoch:2090 Score:2722
